lat,lon,id,pm2_5_cf_1_count,pm2_5_atm_count,p_2_5_um_count,start_date,end_date,Network
34.4163,-117.286,8333,8885,8885,8887,01-01-2019 00:01,14-01-2020 23:10,PPA
34.3614,-117.636,8334,7066,7066,6920,08-01-2019 05:37,14-01-2020 23:20,PPA
34.3614,-117.636,8335,6906,6906,6904,03-02-2019 03:41,14-01-2020 23:20,PPA
34.41,-116.907,8336,8744,8744,8743,01-01-2019 00:01,14-01-2020 23:33,PPA
34.41,-116.907,8337,8743,8743,8744,01-01-2019 00:01,14-01-2020 23:35,PPA
34.5108,-117.326,8338,8818,8818,8818,01-01-2019 00:02,14-01-2020 23:16,PPA
34.5108,-117.326,8339,8818,8818,8818,01-01-2019 00:02,14-01-2020 23:06,PPA
34.4383,-117.452,8340,5818,5818,5822,10-05-2019 17:53,14-01-2020 23:10,PPA
34.4383,-117.452,8341,5818,5818,5816,10-05-2019 17:53,14-01-2020 23:10,PPA
34.8939,-117.025,8342,8853,8853,8853,01-01-2019 20:02,14-01-2020 23:09,PPA
34.8939,-117.025,8343,8853,8853,8853,01-01-2019 00:00,14-01-2020 23:11,PPA
35.7745,-117.372,8348,7336,7336,7336,01-01-2019 19:00,14-01-2020 23:43,PPA
35.7745,-117.372,8349,7336,7336,7336,01-01-2019 00:01,14-01-2020 23:41,PPA
33.9519,-117.696,8444,9011,9011,9011,01-01-2019 00:00,14-01-2020 23:06,PPA
33.9519,-117.696,8445,9012,9012,9013,01-01-2019 00:00,14-01-2020 23:12,PPA
32.8993,-117.109,8448,4761,4761,4761,04-12-2019 10:00,14-01-2020 23:55,PPA
32.8993,-117.109,8449,4761,4761,4761,31-07-2019 13:03,14-01-2020 23:57,PPA
32.8993,-117.109,8458,4750,4750,4746,01-01-2019 00:00,14-01-2020 23:46,PPA
32.8993,-117.109,8459,4744,4744,4749,20-03-2019 12:01,14-01-2020 23:46,PPA
33.5464,-117.663,8686,5351,5351,5350,01-01-2019 00:02,24-09-2019 06:00,PPA
33.5464,-117.663,8687,5350,5350,5350,01-01-2019 00:00,24-09-2019 06:00,PPA
34.8374,-116.684,8724,524,524,524,02-01-2019 08:01,22-01-2019 19:01,PPA
34.8374,-116.684,8725,524,524,524,01-01-2019 00:01,22-01-2019 19:01,PPA
