Network,lat,lon,id,Loc
PPA,40.4303,-79.9177,9893,Pittsburg
PPA,40.4411,-79.8962,9896,Pittsburg
PPA,40.4411,-79.8962,9897,Pittsburg
PPA,40.4698,-79.9262,9898,Pittsburg
PPA,40.4698,-79.9262,9899,Pittsburg
PPA,40.4973,-79.8844,9900,Pittsburg
PPA,40.4973,-79.8844,9901,Pittsburg
PPA,40.4547,-80.0108,9902,Pittsburg
PPA,40.4547,-80.0108,9903,Pittsburg
PPA,40.6588,-79.9432,9904,Pittsburg
PPA,40.6588,-79.9432,9905,Pittsburg
PPA,40.4298,-79.9542,9906,Pittsburg
PPA,40.4298,-79.9542,9907,Pittsburg
PPA,40.4781,-79.9195,9908,Pittsburg
PPA,40.4781,-79.9195,9909,Pittsburg
PPA,40.4569,-80.0049,10413,Pittsburg
PPA,40.328,-79.8924,10744,Pittsburg
PPA,40.328,-79.8924,10745,Pittsburg
PPA,40.3655,-80.0582,12397,Pittsburg
PPA,40.3655,-80.0582,12398,Pittsburg
PPA,40.364,-79.9734,12963,Pittsburg
PPA,40.364,-79.9734,12964,Pittsburg
PPA,40.4067,-79.7585,13017,Pittsburg
PPA,40.4067,-79.7585,13018,Pittsburg
PPA,40.3103,-79.7337,13971,Pittsburg
PPA,40.3103,-79.7337,13972,Pittsburg
PPA,40.3106,-79.7338,14010,Pittsburg
PPA,40.4307,-79.9294,15043,Pittsburg
PPA,40.4307,-79.9294,15044,Pittsburg
PPA,40.4654,-79.9607,15605,Pittsburg
PPA,40.4654,-79.9607,15606,Pittsburg
PPA,40.5078,-80.0834,15607,Pittsburg
PPA,40.5078,-80.0834,15608,Pittsburg
PPA,40.4655,-79.9607,15621,Pittsburg
PPA,40.4655,-79.9607,15622,Pittsburg
PPA,40.4655,-79.9608,15625,Pittsburg
PPA,40.4655,-79.9608,15626,Pittsburg
PPA,40.4654,-79.9607,15629,Pittsburg
PPA,40.4654,-79.9607,15630,Pittsburg
PPA,40.4623,-79.9679,21277,Pittsburg
PPA,40.4623,-79.9679,21278,Pittsburg
PPA,38.69623,-76.84473,673,Washington
PPA,38.69623,-76.84473,674,Washington
PPA,38.82852,-77.12381,677,Washington
PPA,38.82852,-77.12381,678,Washington
PPA,38.99361,-76.94578,679,Washington
PPA,38.99361,-76.94578,680,Washington
PPA,38.94015,-76.92918,683,Washington
PPA,38.94015,-76.92918,684,Washington
PPA,38.94598,-76.93629,685,Washington
PPA,38.94598,-76.93629,686,Washington
PPA,38.99376,-76.9452,697,Washington
PPA,38.99376,-76.9452,698,Washington
PPA,38.93994,-76.93307,699,Washington
PPA,38.93994,-76.93307,700,Washington
PPA,39.00311,-76.97206,701,Washington
PPA,39.00311,-76.97206,702,Washington
PPA,39.00278,-76.97047,703,Washington
PPA,39.00278,-76.97047,704,Washington
PPA,38.94591,-76.9362,705,Washington
PPA,38.94591,-76.9362,706,Washington
PPA,38.93991,-76.93278,709,Washington
